KOD POCZTOWY;ADRES;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
41-711;ul. Grottgera Artura;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Gęsia;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Husarska;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jasińskiego Jakuba;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jasna;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jaworowa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jedności;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jodłowa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Jordana Henryka;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kasprowicza Jana;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kempnego Adolfa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kingi;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kokota Edmunda od 2 do ostatniego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Komuny Paryskiej;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kossaka Wojciecha;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Kowaczka Albina;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Krzywa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-711;ul. Księdza Niedzieli Józefa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;Poczta Ruda Śląska 012, ul. Joanny 20;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;Skrytki Pocztowe Poczta Ruda Śląska 012, ul. Joanny 20;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Akacjowa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Banacha Stefana;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Bogusławskiego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Bytomska;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Ciołkowskiego Konstantego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Czapli Witolda;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Czereśniowa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Doroszewskiego Witolda;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Fabryczna;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Floriana;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Fojkisa Walentego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Gagarina Jurija;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Gliwicka;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Goduli Karola;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Grunwaldzka;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Huloka Adama;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Imieli Emanuela;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Janty Józefa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Jaracza Stefana;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Jesionowa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Joanny;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Kardynała Hlonda Augusta;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Kopalnii Karol;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-712;ul. Królowej Jadwigi;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-713;Poczta Ruda Śląska 013 (Halemba), ul. Solidarności 7;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-714;Poczta Ruda Śląska 014 (Godula), ul. Latki 2;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;Poczta Ruda Śląska 017, ul. Gwarecka 19;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;Skrytki Pocztowe Poczta Ruda Śląska 017, ul. Gwarecka 19;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. 11 Listopada;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Boczna;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Bolesława Chrobrego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Bolesława Krzywoustego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Brygadzistów;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Drozdów;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Górnośląska;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Grzegorzka Józefa;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Gwarecka;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Jagiellońska;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Kanarków;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Katowicka od 72 do ostatniego, od 79 do ostatniego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Kombajnistów;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Kopalniana;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Korfantego Wojciecha od 20 do ostatniego, od 17 do ostatniego;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Kowalskiego Aleksandra;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Kręta;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-717;ul. Księdza Potyki Augustyna;Ruda Śląska;śląskie;Miasto Ruda Śląska na prawach powiatu
41-800;Al. Bohaterów Monte Cassino;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;Al. Korfantego Wojciecha;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;Instytucja Rejonowy Urząd Poczty w Zabrzu, Pl. Dworcowy 1;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;Poczta Zabrze 001, Pl. Dworcowy 1;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;Skrytki Pocztowe Poczta Zabrze 001, Pl. Dworcowy 1;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. 1 Maja;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. 3 Maja;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Akacjowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Archanioła Michała;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Armii Krajowej;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bankowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Batorego Stefana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Biniasa Pawła;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bohaterów Warszawskich;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bolesława Śmiałego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Botaniczna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bracka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Brodzińskiego Kazimierza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Broniewskiego Władysława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Brysza Wiktora;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Buchenwalczyków;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bydgoska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Bytomska od 2 do 2b, od 1 do 3 b;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Chłopska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Chmielna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Chodkiewicza Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Chojnickiego Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Cieszyńska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Cisowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Ciupki Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Cmentarna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Czarnieckiego Stefana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Czołgistów;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Czogały Emanuela;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Czysta;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Długa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dembowskiego Edwarda;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dożynkowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dr Hagera Bronisława od 2 do 28, od 1 do ostatniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dr Różańskiego Bolesława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dębowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dubiela Pawła;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dworcowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dworska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dyboskiego Romana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Dygasińskiego Adolfa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Fabryczna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Fredry Aleksandra;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Froehlicha Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Górnośląska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Góry Świętej Anny;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Galla Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Gdańska od 2 do 38, od 1 do 25;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Generała Dąbrowskiego Jarosława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Generała De Gaulle'a Charlesa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Generała Padlewskiego Stefana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Generała Pułaskiego Kazimierza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Gliwicka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Gołębia;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Goethego Johanna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Grabowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Grottgera Artura;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Hermisza Karola od 1 do ostatniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jagiełły Władysława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jagiellońska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jagodowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jarzębia;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jaskółcza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jasna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jastrzębia;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jesionowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Jodłowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kaźni Oświęcimskiej;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kacza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kamienna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Karłowicza Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kasprowicza Jana od 8 do ostatniego, od 5 do 5;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kaszubska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kilińskiego Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Klimasa Czesława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Klonowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Klosego Floriana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Knurowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Końcowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kołłątaja Hugona;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Koźlika Roberta;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kobylińskiego Stanisława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kochanowskiego Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kolejowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kondratowicza Ludwika;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Konfederatów Barskich;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Konopnickiej Marii;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Korzeniowskiego Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kowalczyka Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Kowalska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Królewska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Krakusa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Krasińskiego Zygmunta;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Krawczyka Klemensa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Krzywoń Anieli;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-800;ul. Zielińskiego doktora;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;Poczta Zabrze 003, ul. Bytomska 28;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;Skrytki Pocztowe Poczta Zabrze 003, ul. Bytomska 28;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Blani Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Bolesława Chrobrego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Brondera Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Bytomska od 2c do ostatniego, od 5 do ostatniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Częstochowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Długosza Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Drzymały Wojciecha;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Głowackiego Bartosza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Goły Feliksa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Hutnicza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Kasprowicza Jana od 2 do 6, od 1 do 3, od 7 do ostatniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Kempki Pawła;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-803;ul. Kossaka Wojciecha;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-805;Poczta Zabrze 005, ul. 3 Maja 60;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;Poczta Zabrze 006 (Zaborze), ul. Kalinowa 7;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;Skrytki Pocztowe Poczta Zabrze 006 (Zaborze), ul. Kalinowa 7;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Agrestowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Asnyka Adama;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Barlickiego Norberta;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Bielszowicka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Bogusławskiego Wojciecha;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Brola Henryka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Cegielniana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Ciasna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Czereśniowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Działaczy Rodła;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Górnicza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Gazdy;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Generała Bema Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Generała Wróblewskiego Walerego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Gorzawskiego Karola;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Jałowcowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Kłyki Pawła;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Kalinowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Karczewskiego Wacława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Karolinki;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Kawika Adama;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Królowej Kingi;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Królowej Luizy;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Krótka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Kraszewskiego Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-806;ul. Krucza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;Al. Szczęście Ludwika;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;Poczta Zabrze 007 (Mikulczy, ul. Brygadzistów 2;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;Skrytki Pocztowe Poczta Zabrze 007 (Mikulczy, ul. Brygadzistów 2;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. 11 Listopada;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Astrów;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Bałtycka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Boya Żeleńskiego Tadeusza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Bratków;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Brygadzistów;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Brzechwy Jana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Bytomskich Strzelców;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Chopina Fryderyka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Czajkowskiego Piotra;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Czechowa Antoniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Dr Hagera Bronisława od 30 do ostatniego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Drobna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Działkowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Fitelberga Grzegorza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Gajowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Generała Garibaldiego Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Generała Kościuszki Tadeusza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Gogola Mikołaja;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Gogolińska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Handlowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Kopalniana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Korwina Wawrzyńca;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Kosynierów;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-807;ul. Koszykowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;Poczta Zabrze 008, ul. Jordana 2;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;Skrytki Pocztowe Poczta Zabrze 008, ul. Jordana 2;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Boczna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Borowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Budowlana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Bukowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Chorzowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Daszyńskiego Ignacego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Dr Jordana Henryka od 2 do 38, od 1 do 19;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Dulęby Henryka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Filtry;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Frycza Modrzewskiego Andrzeja;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Generała Andersa Władysława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Generała Roweckiego-Grota;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Gnieźnieńska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Grabskiego Władysława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Grzybowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Gwarecka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Jabłońskiego Tadeusza;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Kardynała Wyszyńskiego Stefana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Kołobrzeska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Komuny Paryskiej;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Kosmowskiej Ireny;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-808;ul. Krakowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-809;Poczta Zabrze 009 (Pawłów), ul. Generała Sikorskiego Władysława 46;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-809;ul. Głogowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-809;ul. Generała Sikorskiego Władysława;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-809;ul. Kłosowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;Poczta Zabrze 010 (Kończyce), ul. Paderewskiego 25;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Beskidzka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Chudowska;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Copika Rafała;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Dorotki;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Gersona Wojciecha;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Grażyńskiego Michała;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Janasa Wincentego;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Jaszczury;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-810;ul. Jesienna;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;Poczta Zabrze 011 (Makoszowy), ul. Legnicka 4;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Bujoczka Franciszka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Daleka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Filipka Maksymiliana;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Gawrona Józefa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Jaśminowa;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Kłodnicka;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
41-811;ul. Królowej Jadwigi;Zabrze;śląskie;Miasto Zabrze na prawach powiatu
