KOD POCZTOWY;ADRES;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
00-035;ul. Tuwima Juliana;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-036;ul. Baczyńskiego Krzysztofa Kamila;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-037;ul. Kubusia Puchatka;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-038;ul. Moniuszki Stanisława od 2 do 4;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-039;Pl. Powstańców Warszawy od 7 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-040;ul. Warecka od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-041;ul. Jasna od 14 do 16;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-042;ul. Nowy Świat od 41 do 63;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-043;ul. Czackiego Tadeusza;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-044;ul. Świętokrzyska od 10 do 12;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-046;ul. Nowy Świat od 65 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-047;ul. Krakowskie Przedmieście od 1 do 3;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-048;ul. Mazowiecka od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-049;ul. Świętokrzyska od 5 do 37;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-050;ul. Świętokrzyska od 14 do 16;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-051;ul. Dowcip;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-052;ul. Mazowiecka od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-052;ul. Świętokrzyska od 18 do 18;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-054;ul. Jasna od 18 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-055;Pl. Dąbrowskiego Jana Henryka od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-056;ul. Kredytowa od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-057;Pl. Dąbrowskiego Jana Henryka od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-058;ul. Jasna od 19 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-059;ul. Rysia od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-060;ul. Królewska od 25 do 29;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-061;ul. Marszałkowska od 140 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-062;ul. Kredytowa od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-062;ul. Księdza Biskupa Burschego Juliusza;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-063;Pl. Małachowskiego Stanisława od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-064;ul. Królewska od 15 do 23;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-065;ul. Królewska od 2 do 14, od 1 do 13;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-066;Pl. Małachowskiego Stanisława od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-067;ul. Pasaż Niżyńskiego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-067;ul. Traugutta Romualda;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-068;ul. Generała Tokarzewskiego Karaszewicza Michała;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-068;ul. Krakowskie Przedmieście od 5 do 11;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-070;ul. Kozia;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-071;ul. Krakowskie Przedmieście od 13 do 77;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-072;ul. Ossolińskich;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-073;Pl. Marszałka Piłsudskiego Józefa od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-074;ul. Trębacka;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-075;ul. Senatorska od 2 do 4, od 1 do 21;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-076;ul. Moliera Jana Baptysty;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-077;Pl. Teatralny;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-078;Pl. Marszałka Piłsudskiego Józefa od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-079;ul. Krakowskie Przedmieście od 79 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-080;ul. Miodowa od 2 do 4, od 1 do 3;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-081;Poczta Warszawa 005, ul. Miodowa 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-081;Skrytki Pocztowe Poczta Warszawa 005, ul. Miodowa 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-082;ul. Senatorska od 6 do 18;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-083;ul. Nowy Przejazd;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-084;ul. Daniłowiczowska od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-085;ul. Bielańska od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-086;ul. Bielańska od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-087;ul. Corazziego Antoniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-088;ul. Tłomackie;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-089;ul. Gamerskiego Tylmana;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-090;Al. Solidarności od 71 do 79;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-091;Pl. Bankowy od 6 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-092;ul. Hipoteczna od 2 do 4, od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-093;ul. Daniłowiczowska od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-094;ul. Wierzbowa;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-095;Pl. Bankowy od 2 do 4;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-095;ul. Senatorska od 20 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-096;Poczta Warszawa 084, ul. Senatorska 40;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-097;ul. Fredry Aleksandra;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-098;ul. Niecała;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-099;ul. Canaletta;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-099;ul. Senatorska od 23 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-100;ul. Przechodnia;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-102;ul. Marszałkowska od 111 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-103;ul. Królewska od 16 do ostatniego, od 31 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-104;Pl. Grzybowski od 10 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-105;ul. Twarda od 2 do 24;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-107;ul. Próżna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-108;ul. Zielna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-109;Pl. Grzybowski od 2 do 8;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-110;Pl. Defilad;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-110;ul. Marszałkowska od 101 do 109;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-111;Poczta Warszawa 120, Al. Jerozolimskie 54;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-112;ul. Bagno;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-113;ul. Plater Emilii od 36 do ostatniego, od 53 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-114;ul. Twarda od 1 do 15;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-115;Pl. Grzybowski od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-116;Al. Jana Pawła II od 18 do 18;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-116;ul. Świętokrzyska od 24 do ostatniego, od 39 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-117;Al. Jana Pawła II od 2 do 10;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-117;ul. Chmielna od 38 do 88, od 37 do 67;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-118;ul. Plater Emilii od 34 do 34, od 37 do 47;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-119;ul. Sosnowa;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-120;ul. Złota od 10 do 56, od 13 do 59;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-121;ul. Sienna od 1 do 45;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-123;ul. Mariańska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-124;Al. Jana Pawła II od 12 do 16;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-124;ul. Pańska od 2 do 46, od 1 do 45;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-124;ul. Rondo ONZ od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-125;ul. Plater Emilii od 49 do 51;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-126;ul. Sienna od 2 do 48;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-127;ul. Śliska od 2 do 28, od 1 do 29;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-130;ul. Graniczna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-131;ul. Grzybowska od 2 do 10;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-132;ul. Grzybowska od 12 do 26, od 1 do 25;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-133;Al. Jana Pawła II od 20 do 26;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-135;Al. Jana Pawła II od 28 do 30;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-136;Pl. Żelaznej Bramy;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-137;ul. Elektoralna od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-138;Pl. Mirowski;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-138;ul. Ptasia;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-138;ul. Zimna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-139;Pl. Bankowy od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-139;ul. Elektoralna od 2 do 22;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-140;Al. Solidarności od 103 do 117;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-141;Al. Jana Pawła II od 32 do 42;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-142;Pl. Bankowy od 3 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-143;ul. Orla;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-144;Al. Solidarności od 81 do 101;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-145;Al. Jana Pawła II od 44 do 44;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-145;Al. Solidarności od 72 do 82;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-146;ul. Nowolipie od 1 do 7;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-147;Al. Generała Andersa Władysława od 1 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-148;Al. Jana Pawła II od 46 do 50;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-149;ul. Karmelicka od 2 do 6, od 1 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-150;ul. Nowolipie od 2 do 14, od 9 do 19;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-151;ul. Nowolipki od 1 do 17;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-152;Al. Jana Pawła II od 52 do 54;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-153;ul. Nowolipki od 4 do 12;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-153;ul. Zamenhofa Ludwika od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-154;ul. Dzielna od 7 do 7A;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-155;ul. Karmelicka od 8 do 8, od 7 do 11;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-156;Al. Jana Pawła II od 56 do 58;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-157;ul. Anielewicza Mordechaja od 2 do 8, od 1 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-158;ul. Nalewki od 2 do ostatniego, od 1 do 3, od 7 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-159;Al. Generała Andersa Władysława od 7 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-159;ul. Dawidowskiego Alka;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-160;ul. Nowolipki od 2 do 2;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-160;ul. Zamenhofa Ludwika od 2 do 8;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-161;ul. Anielewicza Mordechaja od 7 do 13;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-162;ul. Dzielna od 2 do 28, od 1 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-163;ul. Karmelicka od 10 do 18, od 13 do 15;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-164;ul. Pawia od 2 do 14, od 1 do 13;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-165;ul. Zamenhofa Ludwika od 3 do 9;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-166;Al. Jana Pawła II od 60 do 62;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-167;ul. Anielewicza Mordechaja od 10 do 14, od 15 do 19;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-168;ul. Karmelicka od 17 do 21;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-169;ul. Lewartowskiego Józefa od 18 do ostatniego, od 17 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-170;Al. Jana Pawła II od 64 do 68;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-171;ul. Błońska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-172;ul. Dzika od 6 do 18, od 1 do 23;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-173;ul. Karmelicka od 23 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-174;ul. Miła od 8 do 10, od 15 do 21;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-175;Al. Jana Pawła II od 70 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-176;ul. Niska od 8 do 14, od 9 do 13;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-177;ul. Skwer Wieźniów Politycznych Stalinizmu;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-178;ul. Stawki od 10 do 14, od 11 do 15;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-179;ul. Niska od 2 do 6, od 1 do 7;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-180;ul. Miła od 2 do 6, od 1 do 13;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-181;ul. Karmelicka od 24 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-182;ul. Dubois Stanisława od 7 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-183;ul. Stawki od 5 do 9;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-184;ul. Dubois Stanisława od 1 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-185;ul. Lewartowskiego Józefa od 10 do 16, od 9 do 15;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-186;ul. Karmelicka od 20 do 22;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-187;ul. Nalewki od 5 do 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-187;ul. Zamenhofa Ludwika od 10 do ostatniego, od 11 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-188;ul. Dubois Stanisława od 6 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-189;ul. Inflancka;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-190;ul. Lewartowskiego Józefa od 2 do 8, od 1 do 7;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-191;Poczta Warszawa 047, ul. Lewartowskiego 5;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-192;ul. Muranowska od 4 do ostatniego, od 3 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-193;ul. Stawki od 2 do 8, od 1 do 3;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-194;ul. Dzika od 2 do 4;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-195;ul. Słomińskiego Zygmunta od 3 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-196;ul. Dubois Stanisława od 2 do 4;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-197;ul. Kłopot;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-198;Poczta Warszawa 080, ul. Dzika 4;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-199;ul. Pokorna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-200;ul. Franciszkańska od 21 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-201;Al. Generała Andersa Władysława od 6 do 28;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-202;ul. Wałowa od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-202;ul. Świętojerska od 16 do ostatniego, od 13 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-203;ul. Bonifraterska od 18 do ostatniego, od 1 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-204;ul. Słomińskiego Zygmunta od 2 do ostatniego, od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-205;ul. Franciszkańska od 16 do ostatniego, od 11 do 19;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-206;ul. Konwiktorska od 6 do 6;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-207;Pl. Krasińskich;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-208;ul. Międzyparkowa;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-209;ul. Muranowska od 2 do 2, od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-210;Al. Generała Andersa Władysława od 30 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-211;ul. Wałowa od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-213;ul. Bonifraterska od 2 do 16;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-214;ul. Franciszkańska od 2 do 14;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-215;ul. Dolańskiego Włodzimierza;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-215;ul. Fondamińskiego Edwarda;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-215;ul. Sapieżyńska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-216;ul. Konwiktorska od 5 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-217;ul. Konwiktorska od 2 do 4, od 8 do ostatniego, od 1 do 3;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-218;ul. Kościelna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-219;ul. Przyrynek;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-220;ul. Rajców;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-220;ul. Samborska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-221;ul. Burmistrzowska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-221;ul. Rybaki;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-222;ul. Sanguszki Romana;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-223;ul. Wenedów;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-224;"ul. Skwer Batalionu AK ""Gozdawa""";Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-224;ul. Wójtowska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-225;ul. Szymanowska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-225;ul. Zakroczymska;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-227;ul. Franciszkańska od 1 do 1;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-227;ul. Freta;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-228;ul. Koźla od 2 do ostatniego;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-229;ul. Rynek Nowego Miasta;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-230;ul. Piesza;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-231;ul. Mostowa od 32 do 32;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-231;ul. Stara;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-232;ul. Ciasna;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-232;ul. Gomulickiego Wiktora;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
00-233;ul. Franciszkańska od 3 do 9;Warszawa;mazowieckie;Miasto Warszawa na prawach powiatu
